prob,cell_id
0.01,1064796
0.01,1064797
0.01,1064798
0.01,1068412
0.01,1068413
0.01,1068414
0.01,1068415
0.01,1072030
0.01,1072031
0.01,1075646
0.01,1075647
0.01,1075648
0.01,1079261
0.01,1079262
0.01,1079263
0.01,1079264
0.02,1090106
0.02,1093721
0.02,1093722
0.02,1097337
0.02,1097338
0.02,1097339
0.01,1082877
0.01,1086492
0.01,1086493
0.01,1090107
0.01,1090108
0.01,1090109
0.01,1090110
0.01,1093723
0.01,1093724
0.01,1093725
0.01,1093726
0.01,1097340
0.01,1097341
0.01,1097342
0.01,1097343
0.01,1082878
0.01,1082879
0.01,1082880
0.01,1086494
0.01,1086495
0.01,1086496
0.01,1086497
0.01,1090111
0.01,1090112
0.01,1090113
0.01,1093727
0.01,1093728
0.01,1093729
0.01,1093730
0.01,1097344
0.01,1097345
0.01,1097346
0.01,1082881
0.01,1082882
0.01,1082883
0.01,1082884
0.01,1086498
0.01,1086499
0.01,1086500
0.01,1090114
0.01,1090115
0.01,1093731
0.01,1097347
0.01,1097348
0.03,1108172
0.03,1108173
0.03,1111788
0.03,1111789
0.03,1111790
0.03,1115403
0.03,1115404
0.03,1115405
0.03,1115406
0.05,1104559
0.05,1104560
0.05,1108174
0.05,1108175
0.05,1108176
0.05,1108177
0.05,1111791
0.05,1111792
0.05,1115407
0.05,1115408
0.04,1100946
0.04,1100947
0.04,1100948
0.04,1104561
0.04,1104562
0.04,1104563
0.04,1104564
0.04,1108178
0.04,1108179
0.03,1100949
0.03,1100950
0.03,1100951
0.03,1104565
0.03,1104566
0.03,1104567
0.03,1104568
0.03,1108184
0.03,1111798
0.03,1111799
0.03,1111800
0.03,1111801
0.03,1115414
0.03,1115415
0.03,1115416
0.03,1115417
0.03,1100952
0.03,1100953
0.03,1100954
0.03,1100955
0.03,1104569
0.03,1104570
0.03,1104571
0.03,1104572
0.03,1108185
0.03,1108186
0.03,1108187
0.03,1111802
0.03,1111803
0.03,1115418
0.03,1115419
0.03,1100956
0.03,1100957
0.03,1100958
0.03,1104575
0.03,1108192
0.03,1100961
0.03,1100962
0.03,1100963
0.03,1104576
0.03,1104577
0.03,1104578
0.03,1104579
0.03,1108193
0.03,1108194
0.03,1108195
0.03,1108196
0.03,1111809
0.03,1111810
0.03,1111811
0.03,1111812
0.03,1115427
0.03,1115428
0.02,1100964
0.02,1100965
0.02,1104580
0.02,1104581
0.02,1115429
0.02,1133481
0.03,1119019
0.03,1122635
0.03,1126250
0.03,1126251
0.03,1129865
0.03,1129866
0.03,1129867
0.03,1129868
0.03,1133482
0.03,1133483
0.03,1133484
0.05,1119020
0.05,1119021
0.05,1119022
0.05,1122636
0.05,1122637
0.05,1126252
0.05,1126253
0.05,1126254
0.05,1129869
0.05,1129870
0.05,1129871
0.05,1133486
0.05,1133487
0.05,1133488
0.05,1126258
0.06,1119028
0.06,1119030
0.06,1122644
0.06,1122645
0.06,1122646
0.06,1126260
0.06,1126261
0.06,1126263
0.06,1133496
0.04,1119031
0.04,1119032
0.04,1119033
0.04,1119034
0.04,1122647
0.04,1122648
0.04,1122649
0.04,1122650
0.04,1126264
0.04,1126265
0.04,1126266
0.04,1126267
0.04,1129880
0.04,1129881
0.04,1129882
0.04,1133497
0.04,1133498
0.04,1133499
0.05,1119035
0.05,1122651
0.05,1122657
0.05,1122658
0.05,1126273
0.05,1126274
0.05,1129890
0.05,1129891
0.05,1133505
0.05,1133506
0.05,1133507
0.04,1119042
0.04,1119043
0.04,1119044
0.04,1119045
0.04,1122659
0.04,1122660
0.04,1122661
0.04,1126275
0.04,1126276
0.04,1126277
0.04,1126278
0.04,1129892
0.04,1129893
0.04,1129894
0.04,1133508
0.04,1119046
0.04,1122662
0.04,1126279
0.04,1129895
0.04,1129896
0.01,1147932
0.01,1147933
0.01,1147934
0.01,1147935
0.01,1151549
0.01,1151550
0.01,1151551
0.01,1155165
0.01,1155166
0.01,1155167
0.01,1155168
0.02,1144320
0.02,1147936
0.02,1147937
0.02,1147938
0.02,1147939
0.02,1151552
0.02,1151553
0.02,1151554
0.02,1151555
0.02,1155169
0.03,1144323
0.03,1144324
0.03,1144325
0.03,1144326
0.03,1147940
0.03,1147941
0.03,1147942
0.03,1151556
0.03,1151557
0.03,1151558
0.03,1151559
0.03,1155173
0.03,1155174
0.03,1155175
0.03,1137098
0.03,1137099
0.03,1137100
0.03,1140714
0.03,1140717
0.03,1144334
0.05,1137102
0.05,1137103
0.05,1140718
0.06,1137112
0.06,1140728
0.06,1140729
0.06,1144344
0.06,1144345
0.06,1147960
0.06,1147961
0.06,1151576
0.06,1151577
0.06,1151578
0.06,1155192
0.06,1155193
0.06,1155194
0.06,1137113
0.06,1137114
0.06,1144346
0.06,1147962
0.06,1144353
0.06,1147969
0.06,1151584
0.06,1151585
0.06,1155200
0.06,1155201
0.06,1155202
0.06,1137121
0.06,1137122
0.06,1137123
0.06,1140737
0.06,1140738
0.06,1140739
0.06,1144354
0.06,1144355
0.06,1147970
0.06,1147971
0.06,1147972
0.06,1147973
0.06,1151586
0.06,1151587
0.06,1151588
0.06,1151589
0.06,1155203
0.06,1155204
0.06,1155205
0.06,1155206
0.06,1144357
0.06,1144358
0.06,1144359
0.06,1147974
0.06,1147975
0.06,1147976
0.06,1151590
0.06,1151591
0.06,1151592
0.06,1151593
0.06,1155207
0.06,1155208
0.06,1155209
0.06,1155210
0.06,1155211
0.01,1158781
0.01,1158782
0.08,1158807
0.08,1162423
0.08,1166039
0.08,1166040
0.08,1169655
0.08,1169656
0.08,1173271
0.08,1173272
0.08,1173273
0.07,1158808
0.07,1158809
